Month,Enterprise bankruptcies,Personal bankruptcies,Forced sales in real estate,Forced sales in movables,Reg. execution proceedings
1995M01,225,101,1685,1056,1801
1995M02,221,111,922,667,1889
1995M03,230,141,1110,874,2291
1995M04,145,106,373,416,1386
1995M05,176,151,772,588,1952
1995M06,179,98,1390,1045,1960
1995M07,140,70,963,661,1827
1995M08,193,96,628,465,1569
1995M09,160,83,776,556,1818
1995M10,200,91,1216,1020,1946
1995M11,189,117,966,768,2144
1995M12,190,87,584,591,2151
1996M01,244,114,987,855,1742
1996M02,217,104,513,454,1946
1996M03,234,147,1080,801,1998
1996M04,156,123,602,505,1875
1996M05,201,123,517,468,2054
1996M06,143,94,872,717,2237
1996M07,111,81,692,634,1826
1996M08,168,89,621,559,1602
1996M09,181,106,614,448,2189
1996M10,199,93,867,771,1985
1996M11,172,100,802,633,1843
1996M12,169,89,517,535,1748
1997M01,193,98,812,690,1680
1997M02,187,109,622,508,1708
1997M03,148,76,571,536,1557
1997M04,213,137,813,526,2233
1997M05,154,130,609,534,1843
1997M06,150,110,667,539,2191
1997M07,154,79,566,470,1570
1997M08,153,68,535,468,1462
1997M09,220,115,631,562,1758
1997M10,211,118,726,559,1838
1997M11,153,91,417,459,1699
1997M12,163,103,741,461,1979
1998M01,213,100,563,434,1482
1998M02,217,109,663,459,1784
1998M03,213,143,686,450,2281
1998M04,157,92,553,501,1520
1998M05,149,96,424,420,1647
1998M06,154,113,321,328,1772
1998M07,122,70,1003,742,1466
1998M08,141,80,370,409,1345
1998M09,135,101,694,614,1653
1998M10,218,121,568,623,1552
1998M11,189,105,535,545,1676
1998M12,188,121,352,330,1813
1999M01,156,91,572,579,1536
1999M02,153,112,556,433,1834
1999M03,212,131,666,498,1948
1999M04,172,84,662,498,1448
1999M05,149,110,508,502,1586
1999M06,170,131,622,526,1937
1999M07,115,99,515,477,1545
1999M08,131,106,574,344,1490
1999M09,156,115,564,483,1732
1999M10,173,121,553,467,1552
1999M11,163,118,675,494,1818
1999M12,165,110,654,462,2020
2000M01,151,115,598,729,1652
2000M02,212,119,677,530,2047
2000M03,192,165,541,487,2026
2000M04,146,123,523,420,1394
2000M05,188,143,868,600,1769
2000M06,179,138,586,470,1651
2000M07,125,103,574,493,1318
2000M08,161,110,582,386,1390
2000M09,154,126,221,282,1579
2000M10,198,145,1238,759,1772
2000M11,192,154,763,455,1941
2000M12,133,104,595,409,1790
2001M01,176,132,836,555,1959
2001M02,189,165,494,398,1862
2001M03,206,177,1028,528,1960
2001M04,167,106,806,462,1454
2001M05,179,154,319,333,1732
2001M06,157,91,992,622,1782
2001M07,147,80,780,495,1470
2001M08,184,86,484,362,1350
2001M09,172,88,277,239,1471
2001M10,210,130,990,685,1698
2001M11,219,107,1126,683,1771
2001M12,156,84,313,283,1593
2002M01,215,100,908,510,1839
2002M02,218,147,1056,617,1821
2002M03,195,103,566,292,1643
2002M04,216,195,984,615,1634
2002M05,204,174,808,495,1572
2002M06,255,152,471,366,1953
2002M07,213,96,753,603,1384
2002M08,196,127,985,602,1412
2002M09,241,160,637,561,1599
2002M10,265,208,866,556,2038
2002M11,259,187,1071,645,1875
2002M12,175,172,238,220,1788
2003M01,194,196,1117,833,2136
2003M02,249,231,1108,613,2237
2003M03,321,209,827,538,2058
2003M04,261,200,576,362,1653
2003M05,257,230,1068,926,2058
2003M06,263,196,907,634,1918
2003M07,237,112,1255,939,1420
2003M08,243,124,710,503,1431
2003M09,287,183,627,570,1971
2003M10,296,191,931,773,2045
2003M11,231,147,1398,1004,1710
2003M12,247,118,357,363,1704
2004M01,275,129,1366,892,1705
2004M02,243,132,727,577,1890
2004M03,255,182,1294,851,1841
2004M04,196,144,762,632,1412
2004M05,177,153,1198,695,1496
2004M06,261,162,828,759,1756
2004M07,195,105,773,585,1316
2004M08,191,132,1275,761,1273
2004M09,213,125,653,584,1610
2004M10,220,121,855,711,1740
2004M11,247,131,1379,842,1713
2004M12,211,97,331,505,1873
2005M01,210,132,1215,883,1682
2005M02,220,180,841,535,1760
2005M03,212,141,403,399,1402
2005M04,191,162,1097,737,1463
2005M05,180,153,808,568,1424
2005M06,195,130,734,469,1686
2005M07,136,78,1315,762,1077
2005M08,196,94,441,471,1034
2005M09,182,83,809,489,1341
2005M10,166,80,1119,713,1351
2005M11,147,94,1254,749,1321
2005M12,125,53,379,502,1645
2006M01,164,88,1035,645,1223
2006M02,170,113,1806,1068,1089
2006M03,171,139,973,510,1121
2006M04,140,72,624,301,808
2006M05,155,75,1151,505,1071
2006M06,156,91,1027,449,1122
2006M07,141,69,629,200,772
2006M08,167,71,873,302,870
2006M09,171,91,841,293,1161
2006M10,206,94,616,150,1306
2006M11,187,95,1009,286,1251
2006M12,124,82,633,181,1285
2007M01,163,108,582,199,1195
2007M02,154,102,1375,452,1413
2007M03,226,128,1306,271,1426
2007M04,125,77,304,77,1064
2007M05,162,98,1154,288,1301
2007M06,145,84,1419,305,1175
2007M07,98,57,793,184,1011
2007M08,128,70,579,193,1042
2007M09,159,71,524,149,1361
2007M10,209,76,1659,384,1587
2007M11,150,78,1059,271,1597
2007M12,125,52,867,194,1260
2008M01,214,63,554,183,1638
2008M02,193,69,1078,327,1598
2008M03,140,74,726,192,1124
2008M04,205,102,610,136,1423
2008M05,192,89,1625,484,1508
2008M06,192,95,1080,289,1497
2008M07,186,78,514,129,1071
2008M08,150,80,220,56,1037
2008M09,246,94,1619,474,1657
2008M10,282,128,795,235,2020
2008M11,264,81,641,187,1684
2008M12,336,84,1140,380,1606
2009M01,301,114,1285,516,1872
2009M02,376,97,695,295,1898
2009M03,416,114,1258,379,2550
2009M04,344,112,1264,351,1956
2009M05,326,103,951,368,2213
2009M06,351,148,1110,365,3153
2009M07,249,49,947,385,1848
2009M08,258,79,1009,409,1982
2009M09,311,82,994,371,2818
2009M10,343,111,1057,415,2911
2009M11,278,110,1091,390,2749
2009M12,260,81,1104,365,3030
2010M01,252,106,824,335,2476
2010M02,282,106,763,322,2853
2010M03,331,134,1276,405,2861
2010M04,258,134,541,216,3002
2010M05,271,140,1337,393,2629
2010M06,316,121,1610,487,2558
2010M07,186,61,1182,369,1837
2010M08,209,94,755,286,1777
2010M09,307,92,547,154,2748
2010M10,238,101,1515,445,3172
2010M11,269,102,2303,692,3329
2010M12,242,83,1191,388,2883
2011M01,273,91,1107,301,3539
2011M02,294,97,1156,300,3307
2011M03,304,120,1276,405,3644
2011M04,234,111,2113,463,2433
2011M05,278,138,1509,387,2866
2011M06,288,109,868,260,2446
2011M07,178,61,1149,414,1789
2011M08,235,85,1672,485,2159
2011M09,264,111,1420,409,2553
2011M10,303,100,1174,330,3146
2011M11,284,86,1750,476,3042
2011M12,239,72,1523,405,2326
2012M01,239,103,1216,274,3947
2012M02,280,104,1400,287,3575
2012M03,255,94,1676,444,3893
2012M04,208,63,1058,256,3315
2012M05,226,83,1513,369,3858
2012M06,227,93,1390,411,3761
2012M07,172,41,1358,406,2416
2012M08,211,86,1341,355,3228
2012M09,241,89,919,260,3316
2012M10,273,120,1492,331,4647
2012M11,237,99,1735,380,4482
2012M12,194,76,723,198,3096
2013M01,292,103,2298,535,4400
2013M02,281,129,1253,283,3446
2013M03,263,116,1372,283,3933
2013M04,291,147,1808,426,3548
2013M05,331,156,1414,324,3754
2013M06,288,103,1041,264,4227
2013M07,187,60,1976,562,2842
2013M08,213,69,1489,374,3217
2013M09,286,93,1393,374,3702
2013M10,326,120,1712,418,5575
2013M11,240,107,1487,466,4512
2013M12,255,108,1268,324,3657
